"notation","title","description","id"
"F ","Fachwissen","Chemische Phänomene, Begriffe, Gesetzmäßigkeiten kennen und Basiskonzepten zuordnen",
"F 1","Stoff-Teilchen-Beziehungen","Die Schülerinnen und Schüler können...",
"F 1.1","nennen und beschreiben bedeutsame Stoffe mit ihren typischen Eigenschaften,",,
"F 1.2","beschreiben modellhaft den submikroskopischen Bau ausgewählter Stoffe,",,
"F 1.3","beschreiben den Bau von Atomen mit Hilfe eines geeigneten Atommodells,",,
"F 1.4","verwenden Bindungsmodelle zur Interpretation von Teilchenaggregationen, räumlichen Strukturen und zwischenmolekularen Wechselwirkungen,",,
"F 1.5","erklären die Vielfalt der Stoffe auf der Basis unterschiedlicher Kombinationen und Anordnungen von Teilchen.",,
"F 2","Struktur-Eigenschafts-Beziehungen","Die Schülerinnen und Schüler ...",
"F 2.1","beschreiben und begründen Ordnungsprinzipien für Stoffe, z.B. mit ihren typischen Eigenschaften oder mit charakteristischen Merkmalen der Zusammensetzung und Struktur der Teilchen,",,
"F 2.2","nutzen ein geeignetes Modell zur Deutung von Stoffeigenschaften auf Teilchenebene,",,
"F 2.3","schließen aus den Eigenschaften der Stoffe auf ihre Verwendungsmöglichkeiten und auf damit verbundene Vor- und Nachteile.",,
"F 3","chemische Reaktion","Die Schülerinnen und Schüler ...",
"F 3.1","beschreiben Phänomene der Stoff- und Energieumwandlung bei chemischen Reaktionen,",,
"F 3.2","deuten Stoff- und Energieumwandlungen hinsichtlich der Veränderung von Teilchen und des Umbaus chemischer Bindungen,",,
"F 3.3","kennzeichnen in ausgewählten Donator-Akzeptor-Reaktionen die Übertragung von Teilchen und bestimmen die Reaktionsart,",,
"F 3.4","erstellen Reaktionsschemata/Reaktionsgleichungen durch Anwendung der Kenntnisse über die Erhaltung der Atome und die Bildung konstanter Atomzahlenverhältnisse in Verbindungen,",,
"F 3.5","beschreiben die Umkehrbarkeit chemischer Reaktionen,",,
"F 3.6","beschreiben Beispiele für Stoffkreisläufe in Natur und Technik als Systeme chemischer Reaktionen,",,
"F 3.7","beschreiben Möglichkeiten der Steuerung chemischer Reaktionen durch Variation von Reaktionsbedingungen.",,
"F 4","energetische Betrachtung bei Stoffumwandlungen","Die Schülerinnen und Schüler ...",
"F 4.1","geben an, dass sich bei chemischen Reaktionen auch der Energieinhalt des Reaktionssystems durch Austausch mit der Umgebung verändert,",,
"F 4.2","führen energetische Erscheinungen bei chemischen Reaktionen auf die Umwandlung eines Teils der in Stoffen gespeicherten Energie in andere Energieformen zurück,",,
"E 4.3","beschreiben die Beeinflussbarkeit chemischer Reaktionen durch den Einsatz von Katalysatoren.",,
"E ","Erkenntnisgewinnung","""""Experimentelle und andere Untersuchungsmethoden sowie Modelle nutzen.\n\nDie Schülerinnen und Schüler ...""""",
"E 1","erkennen und entwickeln Fragestellungen, die mit Hilfe chemischer Kenntnisse und Untersuchungen, insbesondere durch chemische Experimente, zu beantworten sind,",,
"E 2","planen geeignete Untersuchungen zur Überprüfung von Vermutungen und Hypothesen,",,
"E 3","führen qualitative und einfache quantitative experimentelle und andere Untersuchungen durch und protokollieren diese,",,
"E 4","beachten beim Experimentieren Sicherheits- und Umweltaspekte,",,
"E 5","erheben bei Untersuchungen, insbesondere in chemischen Experimenten, relevante Daten oder recherchieren sie,",,
"E 6","finden in erhobenen oder recherchierten Daten, Trends, Strukturen und Beziehungen, erklären diese und ziehen geeignete Schlussfolgerungen,",,
"E 7","nutzen geeignete Modelle (z.B. Atommodelle, Periodensystem der Elemente) um chemische Fragestellungen zu bearbeiten,",,
"E 8","zeigen exemplarisch Verknüpfungen zwischen gesellschaftlichen Entwicklungen und Erkenntnissen der Chemie auf.",,
"K ","Kommunikation","""""Informationen sach- und fachbezogen erschließen und austauschen.\n\nDie Schülerinnen und Schüler ...""""",
"K 1","recherchieren zu einem chemischen Sachverhalt in unterschiedlichen Quellen,",,
"K 2","wählen themenbezogene und aussagekräftige Informationen aus,",,
"K 3","prüfen Darstellungen in Medien hinsichtlich ihrer fachlichen Richtigkeit,",,
"K 4","beschreiben, veranschaulichen oder erklären chemische Sachverhalte unter Verwendung der Fachsprache und/oder mit Hilfe von Modellen und Darstellungen,",,
"K 5","stellen Zusammenhänge zwischen chemischen Sachverhalten und Alltagserscheinungen her und übersetzen dabei bewusst Fachsprache in Alltagssprache und umgekehrt,",,
"K 6","protokollieren den Verlauf und die Ergebnisse von Untersuchungen und Diskussionen in angemessener Form,",,
"K 7","dokumentieren und präsentieren den Verlauf und die Ergebnisse ihrer Arbeit situationsgerecht und adressatenbezogen,",,
"K 8","argumentieren fachlich korrekt und folgerichtig,",,
"K 9","vertreten ihre Standpunkte zu chemischen Sachverhalten und reflektieren Einwände selbstkritisch,",,
"K 10","planen, strukturieren, reflektieren und präsentieren ihre Arbeit als Team.",,
"B ","Bewertung","""""Chemische Sachverhalte in verschiedenen Kontexten erkennen und bewerten.\nDie Schülerinnen und Schüler ...""""",
"B 1","stellen Anwendungsbereiche und Berufsfelder dar, in denen chemische Kenntnisse bedeutsam sind,",,
"B 2","erkennen Fragestellungen, die einen engen Bezug zu anderen Unterrichtsfächern aufweisen und zeigen diese Bezüge auf,",,
"B 3","nutzen fachtypische und vernetzte Kenntnisse und Fertigkeiten, um lebenspraktisch bedeutsame Zusammenhänge zu erschließen,",,
"B 4","entwickeln aktuelle, lebensweltbezogene Fragestellungen, die unter Nutzung fachwissenschaftlicher Erkenntnisse der Chemie beantwortet werden können,",,
"B 5","diskutieren und bewerten gesellschaftsrelevante Aussagen aus unterschiedlichen Perspektiven,",,
"B 6","binden chemische Sachverhalte in Problemzusammenhänge ein, entwickeln Lösungsstrategien und wenden diese an.",,

